evaluation_mode,normalization,classifier,removed_feature,retained_feature,pruning_count,pruning_frequency_out_of_20_folds,mean_absolute_spearman_correlation,median_absolute_spearman_correlation,minimum_absolute_spearman_correlation,maximum_absolute_spearman_correlation
common_rows,none,random_forest,permutation_entropy,slope_sign_change_count,12,0.6,0.9981277800177027,0.9981802790507688,0.9979008869118856,0.9982455123432742
common_rows,none,random_forest,root_mean_square,mean_absolute_value,19,0.95,0.9185485625859307,0.919382112036508,0.9067512045861124,0.9432763492243136
common_rows,none,random_forest,slope_sign_change_count,permutation_entropy,6,0.3,0.9981774866056873,0.9981732816445277,0.9979883816508048,0.998343827942147
common_rows,none,random_forest,svd_entropy,spectral_edge_frequency_95,19,0.95,0.964767193055673,0.9638925100582892,0.9577228178160136,0.9752475811800898
native_rows,calibration_median,extra_trees,hjorth_complexity,median_frequency,1,0.05,0.9024385901058128,0.9024385901058128,0.9024385901058128,0.9024385901058128
native_rows,calibration_median,extra_trees,hjorth_mobility,svd_entropy,20,1.0,0.9773275636362373,0.9769922982444306,0.9750212453508332,0.9807782553388474
native_rows,calibration_median,extra_trees,mean_frequency,svd_entropy,20,1.0,0.9444137143509016,0.9439535845352808,0.9409780908018024,0.950239503893528
native_rows,calibration_median,extra_trees,permutation_entropy,slope_sign_change_count,18,0.9,0.9924777770720734,0.9924002229490894,0.9912421966208756,0.9939788256523644
native_rows,calibration_median,extra_trees,spectral_edge_frequency_95,svd_entropy,20,1.0,0.9710899894062225,0.9708234219253227,0.9689874507420492,0.9742002065744968
native_rows,calibration_median,logistic_regression,hjorth_complexity,median_frequency,1,0.05,0.9024385901058128,0.9024385901058128,0.9024385901058128,0.9024385901058128
native_rows,calibration_median,logistic_regression,hjorth_mobility,svd_entropy,20,1.0,0.9773275636362373,0.9769922982444306,0.9750212453508332,0.9807782553388474
native_rows,calibration_median,logistic_regression,mean_frequency,svd_entropy,20,1.0,0.9444137143509016,0.9439535845352808,0.9409780908018024,0.950239503893528
native_rows,calibration_median,logistic_regression,permutation_entropy,slope_sign_change_count,18,0.9,0.9924777770720734,0.9924002229490894,0.9912421966208756,0.9939788256523644
native_rows,calibration_median,logistic_regression,spectral_edge_frequency_95,svd_entropy,20,1.0,0.9710899894062225,0.9708234219253227,0.9689874507420492,0.9742002065744968
native_rows,calibration_median,random_forest,hjorth_complexity,median_frequency,1,0.05,0.9024385901058128,0.9024385901058128,0.9024385901058128,0.9024385901058128
native_rows,calibration_median,random_forest,hjorth_mobility,svd_entropy,20,1.0,0.9773275636362373,0.9769922982444306,0.9750212453508332,0.9807782553388474
native_rows,calibration_median,random_forest,mean_frequency,svd_entropy,20,1.0,0.9444137143509016,0.9439535845352808,0.9409780908018024,0.950239503893528
native_rows,calibration_median,random_forest,permutation_entropy,slope_sign_change_count,18,0.9,0.9924777770720734,0.9924002229490894,0.9912421966208756,0.9939788256523644
native_rows,calibration_median,random_forest,spectral_edge_frequency_95,svd_entropy,20,1.0,0.9710899894062225,0.9708234219253227,0.9689874507420492,0.9742002065744968
native_rows,calibration_median_iqr,extra_trees,hjorth_complexity,median_frequency,1,0.05,0.922406114627659,0.922406114627659,0.922406114627659,0.922406114627659
native_rows,calibration_median_iqr,extra_trees,hjorth_mobility,median_frequency,1,0.05,0.9219645986729602,0.9219645986729602,0.9219645986729602,0.9219645986729602
native_rows,calibration_median_iqr,extra_trees,hjorth_mobility,spectral_edge_frequency_95,6,0.3,0.9493033320948787,0.9476639400082862,0.9464967999301888,0.957609289756795
native_rows,calibration_median_iqr,extra_trees,hjorth_mobility,svd_entropy,5,0.25,0.9792397735726857,0.9792827968591152,0.9781915187497788,0.9809027560183896
native_rows,calibration_median_iqr,extra_trees,mean_frequency,hjorth_mobility,5,0.25,0.9863667155161867,0.9862079003228464,0.9858053342384028,0.9870218801880616
native_rows,calibration_median_iqr,extra_trees,mean_frequency,median_frequency,7,0.35,0.9243167685370823,0.9184466713039938,0.9121996512964148,0.95620823542929
