outer_fold_patient_id,evaluation_mode,normalization,classifier,feature_name,initial_frozen_order,ranking_position,model_input_position,feature_importance,survived_variance_filter,survived_top_k,survived_correlation_pruning,removed_at_stage
491,common_rows,jackknife_median,random_forest,hjorth_mobility,19,11,,0.037907057386578714,True,True,False,correlation_pruning
491,common_rows,jackknife_median,random_forest,hjorth_complexity,20,14,11.0,0.030718417005519246,True,True,True,retained
491,common_rows,jackknife_median,random_forest,katz_fractal_dimension,21,33,,0.00962046462850143,True,False,False,top_k
491,common_rows,jackknife_median,random_forest,higuchi_fractal_dimension,22,18,15.0,0.02311076626936068,True,True,True,retained
491,common_rows,jackknife_median,random_forest,detrended_fluctuation_analysis,23,21,,0.022007018208168694,True,False,False,top_k
491,common_rows,jackknife_median,random_forest,mean_frequency,24,13,,0.031018294808081746,True,True,False,correlation_pruning
491,common_rows,jackknife_median,random_forest,median_frequency,25,4,4.0,0.05510996175949548,True,True,True,retained
491,common_rows,jackknife_median,random_forest,spectral_edge_frequency_95,26,7,,0.04475230695558419,True,True,False,correlation_pruning
491,common_rows,jackknife_median,random_forest,spectral_entropy,27,9,8.0,0.039249510324985235,True,True,True,retained
491,common_rows,jackknife_median,random_forest,AvgSampEn,28,26,,0.016890293241164697,True,False,False,top_k
491,common_rows,jackknife_median,random_forest,MaxSampEn,29,20,17.0,0.022495693088047764,True,True,True,retained
491,common_rows,jackknife_median,random_forest,MedianSampEn,30,16,13.0,0.025473322277582523,True,True,True,retained
491,common_rows,jackknife_median,random_forest,StdSampEn,31,28,,0.015199077716652815,True,False,False,top_k
491,common_rows,jackknife_median,random_forest,KurtosisSampEn,32,27,,0.01610584597109977,True,False,False,top_k
491,common_rows,jackknife_median,random_forest,SkewnessSampEn,33,29,,0.015179726962136566,True,False,False,top_k
491,common_rows,jackknife_median,random_forest,AUC_SampEn,34,15,12.0,0.02771142054758741,True,True,True,retained
491,common_rows,calibration_median,logistic_regression,minimum,1,23,,0.022118285779578292,True,False,False,top_k
491,common_rows,calibration_median,logistic_regression,maximum,2,26,,0.018745267206859956,True,False,False,top_k
491,common_rows,calibration_median,logistic_regression,mean,3,34,,0.007599601988419728,True,False,False,top_k
491,common_rows,calibration_median,logistic_regression,median,4,1,1.0,0.07177327948511097,True,True,True,retained
491,common_rows,calibration_median,logistic_regression,kurtosis,5,10,10.0,0.03285945438330164,True,True,True,retained
