outer_fold_patient_id,evaluation_mode,normalization,classifier,removed_feature,retained_feature,absolute_spearman_correlation,threshold
906,common_rows,none,logistic_regression,svd_entropy,spectral_edge_frequency_95,0.9631651378182368,0.9
906,common_rows,none,logistic_regression,root_mean_square,mean_absolute_value,0.9070610707058441,0.9
906,common_rows,none,logistic_regression,median_frequency,hjorth_complexity,0.9262746545817776,0.9
906,common_rows,none,logistic_regression,hjorth_mobility,spectral_edge_frequency_95,0.9014409089339709,0.9
906,common_rows,none,logistic_regression,permutation_entropy,slope_sign_change_count,0.9982062200106154,0.9
906,common_rows,none,extra_trees,svd_entropy,spectral_edge_frequency_95,0.9631651378182368,0.9
906,common_rows,none,extra_trees,root_mean_square,mean_absolute_value,0.9070610707058441,0.9
906,common_rows,none,extra_trees,median_frequency,hjorth_complexity,0.9262746545817776,0.9
906,common_rows,none,extra_trees,hjorth_mobility,spectral_edge_frequency_95,0.9014409089339709,0.9
906,common_rows,none,extra_trees,permutation_entropy,slope_sign_change_count,0.9982062200106154,0.9
906,common_rows,none,random_forest,svd_entropy,spectral_edge_frequency_95,0.9631651378182368,0.9
906,common_rows,none,random_forest,root_mean_square,mean_absolute_value,0.9070610707058441,0.9
906,common_rows,none,random_forest,median_frequency,hjorth_complexity,0.9262746545817776,0.9
906,common_rows,none,random_forest,hjorth_mobility,spectral_edge_frequency_95,0.9014409089339709,0.9
906,common_rows,none,random_forest,permutation_entropy,slope_sign_change_count,0.9982062200106154,0.9
906,common_rows,jackknife_median,logistic_regression,spectral_edge_frequency_95,svd_entropy,0.9666719268014365,0.9
906,common_rows,jackknife_median,logistic_regression,hjorth_mobility,svd_entropy,0.9784828667344856,0.9
906,common_rows,jackknife_median,logistic_regression,mean_frequency,svd_entropy,0.9372072277715201,0.9
906,common_rows,jackknife_median,extra_trees,spectral_edge_frequency_95,svd_entropy,0.9666719268014365,0.9
906,common_rows,jackknife_median,extra_trees,hjorth_mobility,svd_entropy,0.9784828667344856,0.9
906,common_rows,jackknife_median,extra_trees,mean_frequency,svd_entropy,0.9372072277715201,0.9
906,common_rows,jackknife_median,random_forest,spectral_edge_frequency_95,svd_entropy,0.9666719268014365,0.9
906,common_rows,jackknife_median,random_forest,hjorth_mobility,svd_entropy,0.9784828667344856,0.9
906,common_rows,jackknife_median,random_forest,mean_frequency,svd_entropy,0.9372072277715201,0.9
906,common_rows,calibration_median,logistic_regression,spectral_edge_frequency_95,svd_entropy,0.9702604535166978,0.9
906,common_rows,calibration_median,logistic_regression,hjorth_mobility,svd_entropy,0.9807782553388474,0.9
906,common_rows,calibration_median,logistic_regression,mean_frequency,svd_entropy,0.950239503893528,0.9
906,common_rows,calibration_median,logistic_regression,permutation_entropy,slope_sign_change_count,0.9939788256523643,0.9
906,common_rows,calibration_median,extra_trees,spectral_edge_frequency_95,svd_entropy,0.9702604535166978,0.9
906,common_rows,calibration_median,extra_trees,hjorth_mobility,svd_entropy,0.9807782553388474,0.9
906,common_rows,calibration_median,extra_trees,mean_frequency,svd_entropy,0.950239503893528,0.9
906,common_rows,calibration_median,extra_trees,permutation_entropy,slope_sign_change_count,0.9939788256523643,0.9
