evaluation_mode,normalization,classifier,feature_name,fold_count,variance_survival_count,variance_survival_frequency,top_k_survival_count,top_k_survival_frequency,final_selection_count,final_selection_frequency,variance_removal_count,top_k_removal_count,correlation_pruning_removal_count,median_ranking_position,mean_ranking_position,ranking_position_standard_deviation,median_model_input_position,mean_model_input_position,mean_feature_importance,median_feature_importance,feature_importance_standard_deviation,minimum_feature_importance,maximum_feature_importance,importance_cv,stability_category
native_rows,calibration_median_iqr,extra_trees,zero_crossing_count,20,20,1.0,0,0.0,0,0.0,0,20,0,28.0,27.25,2.8996370008747827,,,0.01873899546554526,0.0184738259686826,0.002419082554453061,0.0142107824354795,0.023291588534021,0.12909350231184719,low
native_rows,calibration_median_iqr,extra_trees,slope_sign_change_count,20,20,1.0,20,1.0,20,1.0,0,0,0,8.0,6.85,4.120232492162752,5.5,5.3,0.04330966216549192,0.0425887767931277,0.008714755721654905,0.0325901248314754,0.0651328375704259,0.20121966521822954,very_high
native_rows,calibration_median_iqr,extra_trees,approximate_entropy,20,20,1.0,20,1.0,20,1.0,0,0,0,8.0,9.05,4.058454463410788,6.0,7.1,0.03849742898295554,0.03934958281089155,0.005562523163765279,0.0272071054632834,0.0460303055503478,0.144490770181771,very_high
native_rows,calibration_median_iqr,extra_trees,permutation_entropy,20,20,1.0,18,0.9,0,0.0,0,2,18,15.5,15.5,4.67355381515586,,,0.03044902027374586,0.0294049960418131,0.005888673547021506,0.0193497911304558,0.0425130348859967,0.19339451627936,low
native_rows,calibration_median_iqr,extra_trees,fuzzy_entropy,20,20,1.0,20,1.0,20,1.0,0,0,0,1.5,3.35,3.3759988775253817,1.5,2.85,0.05239334974846392,0.05396070698217875,0.009614948282839202,0.034361100335584,0.0714512820885231,0.18351466987699322,very_high
native_rows,calibration_median_iqr,extra_trees,distribution_entropy,20,20,1.0,0,0.0,0,0.0,0,20,0,26.5,26.9,2.653696528082647,,,0.019200635771623335,0.019764656360242848,0.002261608735523732,0.013166752964203,0.0240546159255326,0.11778822130807609,low
native_rows,calibration_median_iqr,extra_trees,svd_entropy,20,20,1.0,20,1.0,6,0.3,0,0,14,4.0,4.7,2.5975697143777743,2.5,3.1666666666666665,0.045999855415283245,0.0463192514412388,0.005305000963906242,0.0340395226656658,0.0539244394087727,0.11532647039894128,low
native_rows,calibration_median_iqr,extra_trees,lempel_ziv_complexity,20,20,1.0,20,1.0,20,1.0,0,0,0,10.5,10.95,2.6847522673129647,8.0,8.05,0.03491777554853464,0.03507581084300475,0.00370556777114019,0.0291052288581701,0.0410600924798339,0.10612267571253398,very_high
native_rows,calibration_median_iqr,extra_trees,hjorth_mobility,20,20,1.0,20,1.0,8,0.4,0,0,12,4.0,4.35,2.1588252165910684,2.0,2.875,0.04678234664897273,0.0468348756440857,0.005069190048297905,0.0371493337811453,0.0572191837680802,0.10835689980098971,low
native_rows,calibration_median_iqr,extra_trees,hjorth_complexity,20,20,1.0,12,0.6,11,0.55,0,8,1,20.0,19.55,2.892367451359562,15.0,14.181818181818182,0.02578929028996217,0.0256607244859184,0.0035301397915744742,0.0203133303984187,0.0332497996330413,0.13688394491989925,moderate
native_rows,calibration_median_iqr,extra_trees,katz_fractal_dimension,20,20,1.0,0,0.0,0,0.0,0,20,0,33.0,33.0,0.0,,,0.009963826112942734,0.0098917512996613,0.0008535714481827237,0.008437765909807,0.0115199860954603,0.08566703578597765,low
native_rows,calibration_median_iqr,extra_trees,higuchi_fractal_dimension,20,20,1.0,16,0.8,16,0.8,0,4,0,17.5,17.6,3.7752657626910677,13.0,12.8125,0.027868278583423722,0.0278407871032147,0.003872725378128932,0.017372577483832,0.0368874888634264,0.13896536043788726,high
native_rows,calibration_median_iqr,extra_trees,detrended_fluctuation_analysis,20,20,1.0,19,0.95,19,0.95,0,1,0,14.5,14.2,3.805812728750036,11.0,10.789473684210526,0.03125272790829427,0.030825643696555348,0.004075389044008765,0.0230502856491528,0.0420229284429721,0.1304010662994696,very_high
native_rows,calibration_median_iqr,extra_trees,mean_frequency,20,20,1.0,20,1.0,0,0.0,0,0,20,9.0,9.6,2.7414940221864814,,,0.03771724890226452,0.03755246702329645,0.004197456338682466,0.0291369761651352,0.0466416171178468,0.11128744701288257,low
native_rows,calibration_median_iqr,extra_trees,median_frequency,20,20,1.0,20,1.0,20,1.0,0,0,0,4.0,5.05,3.3003189638515087,3.0,3.9,0.0460450008643726,0.04762204182794315,0.006908355948278649,0.0350049128303063,0.0592722142333352,0.15003487498300824,very_high
