feature_name,dtype,non_missing_count,missing_count,infinite_count,unique_count,most_frequent_value_fraction,minimum,q1,median,q3,maximum,mean,standard_deviation,iqr,iqr_outlier_count,is_constant,is_near_constant,feature_family
fuzzy_entropy,float64,1283,0,0,1283,0.000779423226812159,0.0656518079108073,0.21304232149698105,0.2850658776827786,0.36262547008204,0.6577073597961521,0.2925363544027166,0.11535994304413831,0.14958314858505894,12,False,False,ABFE
distribution_entropy,float64,1283,0,0,1283,0.000779423226812159,0.5403141420714871,0.7795012974238502,0.831448116246563,0.883911656784209,0.950415100863967,0.8253230293015381,0.07352478785735592,0.1044103593603588,7,False,False,ABFE
svd_entropy,float64,1283,0,0,1283,0.000779423226812159,0.4639314681981407,0.6833721266043254,0.7532336442469061,0.8030941807757491,0.9036799713470942,0.7243637947506831,0.11079104485656172,0.11972205417142368,59,False,False,ABFE
lempel_ziv_complexity,float64,1283,0,0,415,0.00857365549493375,0.0545658545290643,0.21687615062823046,0.2682050476852317,0.3634640818630898,0.6399927344764839,0.2821764784220155,0.10356560852028825,0.14658793123485936,1,False,False,ABFE
hjorth_mobility,float64,1283,0,0,1283,0.000779423226812159,0.1688384161090905,0.35097575988209107,0.4449186836892953,0.49960320188053525,0.717633807689372,0.42736500720265364,0.12890780557012255,0.1486274419984442,0,False,False,ABFE
hjorth_complexity,float64,1283,0,0,1283,0.000779423226812159,1.353586929183034,1.5680876353864925,1.7595240235038347,2.292591271417117,4.426121839173472,2.0356536732426123,0.6864550248581744,0.7245036360306245,57,False,False,ABFE
fisher_information,float64,1283,0,0,1283,0.000779423226812159,0.2737369516226125,0.43769299628692265,0.4850400976135849,0.573118310330415,0.7722908883021883,0.5090752242407086,0.12074479494185571,0.1354253140434924,0,False,False,ABFE
petrosian_fractal_dimension,float64,1283,0,0,1044,0.003897116134060795,1.0050864898223637,1.0082077017985487,1.010296223124869,1.0116698974766272,1.0162970581060788,1.0101101470580807,0.002542888168513105,0.0034621956780784835,0,False,False,ABFE
katz_fractal_dimension,float64,1283,0,0,1283,0.000779423226812159,1.8825674462875532,2.7262775990897103,2.920612838456275,3.201343630112521,4.6032818990024005,2.96933347507895,0.36975940681077896,0.47506603102281053,14,False,False,ABFE
higuchi_fractal_dimension,float64,1283,0,0,1283,0.000779423226812159,1.0467337936518166,1.2987487707002265,1.373542873964209,1.4285466658149129,1.597758478870703,1.3507551891187075,0.11580476322704152,0.1297978951146863,78,False,False,ABFE
detrended_fluctuation_analysis,float64,1283,0,0,1283,0.000779423226812159,0.3308000917249445,0.4689792708780103,0.5256801702477153,0.6155746040049089,0.93698458908103,0.5588224685982501,0.12155169797344541,0.14659533312689865,16,False,False,ABFE
peak_frequency,float64,1283,0,0,16,0.2969602494154326,1.0,1.5,2.0,2.5,11.5,2.3421667965705377,1.467481306720386,1.0,131,False,False,ABFE
mean_frequency,float64,1283,0,0,1283,0.000779423226812159,2.061739885372842,5.491210099163718,7.267644383927446,8.413608246205765,13.093538533670436,6.967910389788249,2.4635488289472627,2.9223981470420473,10,False,False,ABFE
